repository_name,owner_username,stars,repository_url
LogiKM,didi,4100,https://github.com/didi/LogiKM
kafdrop,obsidiandynamics,3700,https://github.com/obsidiandynamics/kafdrop
BERTopic,MaartenGr,2500,https://github.com/MaartenGr/BERTopic
kafka-monitor,linkedin,1900,https://github.com/linkedin/kafka-monitor
Android-Interview-Questions,derekargueta,842,https://github.com/derekargueta/Android-Interview-Questions
swoole-jobs,kcloze,581,https://github.com/kcloze/swoole-jobs
wsify,alash3al,487,https://github.com/alash3al/wsify
Html2Article,stanzhai,461,https://github.com/stanzhai/Html2Article
hacker-news-digest,polyrabbit,296,https://github.com/polyrabbit/hacker-news-digest
LDAGibbsSampling,yangliuy,224,https://github.com/yangliuy/LDAGibbsSampling
mqttx,Amazingwujun,216,https://github.com/Amazingwujun/mqttx
proposal-smart-pipelines,tc39,179,https://github.com/tc39/proposal-smart-pipelines
weibo-topic-spider,czy1999,192,https://github.com/czy1999/weibo-topic-spider
Kafka-zk-restapi,gnuhpc,124,https://github.com/gnuhpc/Kafka-zk-restapi
tencentcloud-iot-sdk-embedded-c,TencentCloud,124,https://github.com/TencentCloud/tencentcloud-iot-sdk-embedded-c
hub,leandro-lugaresi,115,https://github.com/leandro-lugaresi/hub
kafka-visualizer,manasb-uoe,106,https://github.com/manasb-uoe/kafka-visualizer
windowed-observable,luistak,106,https://github.com/luistak/windowed-observable
edamontology,edamontology,96,https://github.com/edamontology/edamontology
geekforum,liuhuipy,88,https://github.com/liuhuipy/geekforum
kafkactl,jbvmio,79,https://github.com/jbvmio/kafkactl
webfunc,nicolasdao,71,https://github.com/nicolasdao/webfunc
azure-service-bus-go,Azure,68,https://github.com/Azure/azure-service-bus-go
lucene-lda,stepthom,56,https://github.com/stepthom/lucene-lda
mqtt-react-hooks,VictorHAS,56,https://github.com/VictorHAS/mqtt-react-hooks
HackerQueue,frankcash,54,https://github.com/frankcash/HackerQueue
Insulator,andrewinci,54,https://github.com/andrewinci/Insulator
ieml,IEMLdev,45,https://github.com/IEMLdev/ieml
odoobooks,mga-odoo,42,https://github.com/mga-odoo/odoobooks
ConDigSum,Junpliu,44,https://github.com/Junpliu/ConDigSum
